participant_id,condition,condition_label,wave,run_index,n_runs,saved_at,actual_score,score_percent,completed_main_tasks,mean_confidence,mean_conf_correct,mean_conf_incorrect,confidence_discrimination,signed_confidence_gap,absolute_confidence_gap,pre_with_ai,pre_without_ai,pre_ai_alone,pre_self_percentile,pre_ai_percentile,post_with_ai,post_without_ai,post_ai_alone,post_self_percentile,post_ai_percentile,signed_estimation_error,absolute_estimation_error,estimate_shift_with_ai,estimate_shift_without_ai,estimate_shift_ai_alone,total_prompts,prompts_per_task,main_tasks_prompted,mean_prompt_words,pasted_task_share,total_user_messages,total_assistant_messages,assistant_output_tokens,assistant_reasoning_tokens,chat_resets,gate_tests,gate_matched,gate_max_coverage,reliability_cards_presented,similarity_tests,cards_hidden,reflection_pages_answered,reflection_words,completion_seconds,completion_minutes,completion_time_source,sus_score,ueq_overall,ueq_pragmatic,ueq_hedonic,tlx_mean,tlx_raw_mean,nfc_mean,trust_mean,attention_passed,attention_found,attention_failed,age,gender,education,fluency,ai_use_label,ai_use_frequency,double_checked_answers,repeated_other_condition,exclude_repeat,exclude_attention,exclude_incomplete,exclude_fast,exclude_manual,exclude_primary
69e682966f693cecc39ac613,ai,AI (baseline),2,0,1,2026-08-16T20:25:43.543554+00:00,3,25.0,12,83.16666666666667,88.0,81.55555555555556,6.444444444444443,58.16666666666667,58.16666666666667,12.0,5.0,8.0,70.0,90.0,5.0,5.0,8.0,70.0,80.0,2.0,2.0,-7.0,0.0,0.0,28,2.3333333333333335,12,58.892857142857146,0.8928571428571429,31,31,31407,23447,0,18,12,1.0,0,0,0,0,0,2312.3680000305176,38.53946666717529,client task timestamps,97.5,2.0,3.0,1.0,6.0,9.166666666666666,4.166666666666667,3.875,4,4,0,26.0,Woman,Vocational college degree,Native English speaker,Several times a day,7,5.0,False,False,False,False,False,False,False
659585d0d682df995ad2c5b5,ai,AI (baseline),2,0,1,2026-08-16T21:51:36.239737+00:00,6,50.0,12,54.916666666666664,60.333333333333336,49.5,10.833333333333336,4.916666666666664,4.916666666666664,8.0,5.0,10.0,51.0,50.0,5.0,0.0,10.0,20.0,50.0,-1.0,1.0,-3.0,-5.0,0.0,25,2.0833333333333335,12,182.28,0.76,26,26,37559,30178,9,18,11,1.0,0,0,0,0,0,5097.938999891281,84.96564999818801,client task timestamps,52.5,-0.375,-0.25,-0.5,16.5,13.666666666666666,4.0,3.375,4,4,0,63.0,Woman,Lower tertiary education degree (Bachelor's level),Native English speaker,Several times a day,7,2.0,False,False,False,False,False,False,False
6a04d6f7d3e6d5170c2f1584,ai,AI (baseline),2,0,1,2026-08-17T10:25:12.750901+00:00,4,33.33333333333333,12,56.166666666666664,57.5,55.5,2.0,22.833333333333336,22.833333333333336,6.0,2.0,10.0,80.0,90.0,6.0,0.0,12.0,20.0,65.0,2.0,2.0,0.0,-2.0,2.0,15,1.25,12,106.73333333333333,0.8,16,16,15795,13619,0,16,12,1.0,0,0,0,0,0,1432.5920000076294,23.87653333346049,client task timestamps,42.5,-1.875,-1.25,-2.5,10.5,13.666666666666666,3.6666666666666665,2.5,4,4,0,59.0,Man,Lower tertiary education degree (Bachelor's level),Native English speaker,About once a day,6,1.0,False,False,False,False,False,False,False
6a22afd22ece5ef29b598074,ai,AI (baseline),2,0,1,2026-08-17T10:54:24.779609+00:00,8,66.66666666666666,12,84.83333333333333,87.0,80.5,6.5,18.16666666666667,18.16666666666667,10.0,5.0,12.0,70.0,50.0,12.0,4.0,12.0,75.0,100.0,4.0,4.0,2.0,-1.0,0.0,20,1.6666666666666667,12,95.7,0.8,22,22,29492,23949,0,18,12,1.0,0,0,0,0,0,2839.1620001792908,47.31936666965485,client task timestamps,87.5,1.375,1.75,1.0,5.833333333333333,8.333333333333334,3.8333333333333335,4.0,4,4,0,35.0,Man,Lower tertiary education degree (Bachelor's level),Native English speaker,Several times a day,7,4.0,False,False,False,False,False,False,False
67d4773442ee746bb00b2542,ai,AI (baseline),2,0,1,2026-08-18T06:12:19.967222+00:00,5,41.66666666666667,12,90.66666666666667,88.4,92.28571428571429,-3.885714285714286,49.0,49.0,10.0,10.0,6.0,59.0,50.0,9.0,12.0,9.0,72.0,70.0,4.0,4.0,-1.0,2.0,3.0,13,1.0833333333333333,12,123.46153846153847,0.9230769230769231,14,14,23137,20386,0,14,12,1.0,0,0,0,0,0,3117.1579999923706,51.95263333320618,client task timestamps,90.0,2.875,3.0,2.75,7.333333333333333,10.166666666666666,3.1666666666666665,3.125,4,4,0,47.0,Woman,Higher tertiary education degree (Master's level),Native English speaker,About once a day,6,5.0,False,False,False,False,False,False,False
67894c4106e9380ced60256e,ai,AI (baseline),1,0,1,2026-07-16T15:06:05.016846+00:00,3,25.0,12,81.58333333333333,76.0,83.44444444444444,-7.444444444444443,56.58333333333333,56.58333333333333,10.0,5.0,8.0,64.0,50.0,12.0,4.0,12.0,39.0,73.0,9.0,9.0,2.0,-1.0,4.0,16,1.3333333333333333,12,104.6875,,18,18,24981,21671,0,0,0,,0,0,0,0,0,2434.194000005722,40.569900000095366,client task timestamps,92.5,0.25,1.5,-1.0,9.666666666666666,10.833333333333334,1.5,4.375,4,4,0,26.0,Woman,Upper secondary school / High school,Native English speaker,About once a day,6,3.0,False,False,False,False,False,False,False
69fd9d6f7d9cd6c042e8a1cc,ai,AI (baseline),1,0,1,2026-07-16T15:12:39.365457+00:00,4,33.33333333333333,12,97.08333333333333,99.75,95.75,4.0,63.75,63.75,12.0,10.0,12.0,50.0,50.0,12.0,7.0,12.0,75.0,75.0,8.0,8.0,0.0,-3.0,0.0,13,1.0833333333333333,12,147.3846153846154,,14,14,22819,19120,0,0,0,,0,0,0,0,0,1181.8789999485016,19.697983332475026,client task timestamps,100.0,2.625,3.0,2.25,1.3333333333333333,4.5,2.8333333333333335,5.0,4,4,0,32.0,Man,Upper secondary school / High school,Native English speaker,Several times a day,7,2.0,False,False,False,False,False,False,False
6a2012eff90f7af67fdfb112,ai,AI (baseline),1,0,1,2026-07-16T15:17:37.324496+00:00,4,33.33333333333333,12,97.58333333333333,99.75,96.5,3.25,64.25,64.25,12.0,12.0,12.0,75.0,90.0,12.0,8.0,12.0,75.0,90.0,8.0,8.0,0.0,-4.0,0.0,16,1.3333333333333333,12,119.5,,17,17,17049,14652,0,0,0,,0,0,0,0,0,1465.0490000247955,24.417483333746592,client task timestamps,87.5,1.875,2.25,1.5,6.666666666666667,8.166666666666666,3.5,4.375,4,4,0,32.0,Man,Lower tertiary education degree (Bachelor's level),Native English speaker,A few times a week,5,3.0,False,False,False,False,False,False,False
6a1c0a74391cb03e607159f3,ai,AI (baseline),1,0,1,2026-07-16T15:35:10.756091+00:00,11,91.66666666666666,12,64.25,68.0,23.0,45.0,-27.416666666666657,27.416666666666657,10.0,5.0,8.0,73.0,88.0,8.0,4.0,6.0,67.0,73.0,-3.0,3.0,-2.0,-1.0,-2.0,14,1.1666666666666667,12,289.7142857142857,,18,18,24165,19099,0,0,0,,0,0,0,0,0,3785.3870000839233,63.089783334732054,client task timestamps,75.0,1.375,1.0,1.75,7.166666666666667,8.333333333333334,4.166666666666667,3.0,4,4,0,19.0,Man,Vocational college degree,Native English speaker,Several times a day,7,5.0,False,False,False,False,False,False,False
5c0430c71a20110001e9b05a,ai,AI (baseline),1,0,1,2026-07-16T15:41:37.277576+00:00,4,33.33333333333333,12,94.16666666666667,90.75,95.875,-5.125,60.83333333333334,60.83333333333334,12.0,4.0,12.0,33.0,97.0,10.0,4.0,12.0,33.0,80.0,6.0,6.0,-2.0,0.0,0.0,16,1.3333333333333333,12,119.8125,,18,18,23537,20903,0,0,0,,0,0,0,0,0,2672.2999999523163,44.538333332538606,client task timestamps,70.0,2.875,3.0,2.75,12.833333333333334,14.0,3.3333333333333335,4.25,4,4,0,44.0,Woman,Vocational college degree,Native English speaker,Several times a day,7,3.0,False,False,False,False,False,False,False
