participant_id,condition,item,question,text,codes
69e91eb03d3b8e3a861ec30b,ai-reliability,pooled,manipulation (pooled),At the start it made me doubt or trust the AI decisions || Not at all,trust_less
6978d836ea6703b9dde8f92e,ai-reliability,pooled,manipulation (pooled),it made me doubt the AI's answers || it made me second guess the right answers but I often still listened to the AI,trust_less
6a00dc03128b71d40ab29141,ai-reliability,pooled,manipulation (pooled),"didnt change how i interacted with AI, it did make me check the answer || yes",UNCODED
6978df95c23f5064d0581f23,ai-reliability,pooled,manipulation (pooled),"It made me doubel check the AI's  reasoninh rather than just accepting the final answer. || I sued it to judge how much weight to give the AI's answer. If the explanation was clear  and matches the data from the scinario, I relied on it.",UNCODED
6a0daf62ec01cd69c04d1da8,ai-reliability,pooled,manipulation (pooled),It made me double-check it and I was more critical. || I would trust it much less if I was told it wasn't as reliable.,more_careful
5d68c8aa40524c00189e8ac2,ai-reliability,pooled,manipulation (pooled),"Initially, it made me more wary, but I saw the reliability information seemed random without any basis in the AI's accuracy, after checking. || It made me warier at first, but past the first couple of questions, I just treated the AI as reliable as any other AI regardless of the reliability information.",trust_less
6a0f3b12622c149244b455c6,ai-reliability,pooled,manipulation (pooled),I didnt really change the way i interacted at all since i assumed that it was fake and just there to influence the user. I made the assumption that everything was working normally and simply double checked the AI's output as i would normally do. || I didnt use it at all.,more_careful
59e7276d5de9b000017ed1c1,ai-reliability,pooled,manipulation (pooled),"Making the AI reassess its answers at times, when the reliability advice was indicating a lower confidence rating. || I did not use is strictly to make the final decision but it worked as a guide and prompted me to challenge the AI",UNCODED
6a197061d6e8373f3d65e81f,ai-reliability,pooled,manipulation (pooled),"It sometimes made me less likely to just accept an answer || When it was high it gave me more confidence, but I still tried to check all the answers",more_careful
67d80b3db0cac8b1bd982fb2,ai-reliability,pooled,manipulation (pooled),I tried to be more keen on the AI that had low reliability check. || I tried to be more keen on the AI that had low reliability check and less keen on those that had high reliability check.,UNCODED
6a1133732417b2fc2a138870,ai-reliability,pooled,manipulation (pooled),It made me doubt it more than I usually would. || It made me less certain for the answer to be right.,trust_less
69fdef338f87c1f1bf52ec2d,ai-reliability,pooled,manipulation (pooled),"I checked more thoroughly if the AI was shown to not have high reliability. || If it was higher, I tended to trust it more and was less thorough in my checking. If it was lower, I then checked more thoroughly.",more_careful;trust_more
6a14ed94ddfccd8c074e9f98,ai-reliability,pooled,manipulation (pooled),It did. It made me more cautious and I ensured to ask the AI follow up questions || I did a lot and looked at what made it unreliable by looking at the extra information,more_careful;trust_less
69f20160e7342e6f292d61ba,ai-reliability,pooled,manipulation (pooled),a little || just as a secondary information,UNCODED
6a19abd9f379edc1b66ac895,ai-reliability,pooled,manipulation (pooled),"I know better now that AI are prone to mistakes especially when dealing with complex tasks || I checked it all through before choosing an answer. When it was low, I took out more time to read through the scenario",slowed_friction
6a25c070d132810cf4aa0a9b,ai-reliability,pooled,manipulation (pooled),Yes as my answers were more professional || Yes,UNCODED
60dca45abca3eb229bafdedf,ai-reliability,pooled,manipulation (pooled),the reliability information helped a lot || to decide how well i rated the answer and how much effort i put in to sense checking its output,more_careful
667178d77f8b6ed980c256ff,ai-reliability,pooled,manipulation (pooled),"It made me note if I needed to spend more time checking AI answers. || I just read whether the reliability was low, medium, or high.",UNCODED
59dbb88b0fb3a90001bd90b0,ai-reliability,pooled,manipulation (pooled),"It reminded me I should be cautious of it's reliability and question it if I thought I knew different. || it didn't influence me a lot, but it made me subconsciously more aware at checking the answer. If I was totally lost though I was more likely to just follow the AI.",more_careful
6a142dc26ed32d4a9430fab8,ai-reliability,pooled,manipulation (pooled),It made me ask more follow up questions when the reliability was low || I relied on the AI regardless as I found the information difficult to process on my own,UNCODED
6a0adda4ab63b9293ca9d4ab,ai-reliability,pooled,manipulation (pooled),"It made me less confident in my answer but I still went with the AI suggestion as I found it difficult to try and piuzzle it out myself || I still went with AI but if it was low, I'd quickly check for an obvious error or ask ""are you sure"" to see if it guessed again",UNCODED
6a25abc2ee592e874458786b,ai-reliability,pooled,manipulation (pooled),i was more wary if the relability was low || more likely to double check if the reliabliliy said it was low,more_careful;trust_less
69ea08bd7a900ff4a9b6f7c2,ai-reliability,pooled,manipulation (pooled),"It made me question some of the AI's logic, which I was doing anyway, but I was suspicious the reliability information wasn't accurate anyway. || See previous answer",more_careful;trust_less
6658b1a747c3b7e6e7d4a63e,ai-reliability,pooled,manipulation (pooled),made me think of research || fifty fifty,more_careful
6a1eccd60ae50d68ab01c141,ai-reliability,pooled,manipulation (pooled),"it came up fairly reliably however it lacks the emotional intelligence of a human || i used it more than i expected to, but still left marginal room for me to make an informed decision.",UNCODED
6a246d7667cc4c295e3135fc,ai-reliability,pooled,manipulation (pooled),somewhat || most the time,UNCODED
56896501d3d6a7000ca23da8,ai-reliability,pooled,manipulation (pooled),"It made me more likely to double check the AIs answers. || It made me more inclined to double check it's answers, but I interacted with it consistently across all questions regardless of whether it's reliability at the time was low, medium or high.",more_careful
69f6a9b7a7b418e1549df619,ai-reliability,pooled,manipulation (pooled),"it either added or decreased my  trust in the  ai answer, but eventually i started ignoring it. || It just made me double check the answer if reliability was low",more_careful
6a0b23f183c91f11588f9713,ai-reliability,pooled,manipulation (pooled),It made me doubt AI more when using it || I used the relibility information to make a judgment on which was the real correct answer,trust_less
6a158948095b952dff4cf19a,ai-reliability,pooled,manipulation (pooled),"Thing is I am goo0d at these type of reasoning things, so i considered AI as a toll to double check || Just like a second opinion",more_careful
5eb9da8201c8981162b0cb03,ai-reliability,pooled,manipulation (pooled),I just used good command to interact with AI. || I took it that the AI interacts with the whole internet.,UNCODED
6a018269dce40eb22c0b9026,ai-reliability,pooled,manipulation (pooled),I dont think it had any impact || I just relied on AI,UNCODED
672380a64e984ba03695602f,ai-reliability,pooled,manipulation (pooled),"Yes it helped me in places where my answer differs from the AI answers, so i used the reliablity checker to make my final decision.",UNCODED
6a18b6036aa5ef9ebce73f63,ai-reliability,pooled,manipulation (pooled),No it didn't change the way I used AI || ,no_change
5d352f8bb02857001963539a,ai-reliability,pooled,manipulation (pooled),I sometimes asked if it was sure to see if it would change its mind if reliability was low || I was less trusting of my answer if the reliability was low,trust_less
69fdced3c093b1d6f1b3b2d2,ai-reliability,pooled,manipulation (pooled),"It did not significantly change my interaction with the AI. I still reviewed all responses critically, but the reliability information provided additional context when assessing the answers || I used the reliability information as a cue for how much confidence to place in the AI’s responses. When reliability was high, I was more willing to rely on the AI’s recommendations. When reliability was lower, I was more cautious and spent more time verifying the information independently before using it.",more_careful
69ebd19b31c8e6f5e203c471,ai-reliability,pooled,manipulation (pooled),It definitely made me think twice about just accepting the answer given || I had awareness of it but i felt the odds were still good enough mostly,more_careful
6a1440fbc95e29c6e954c401,ai-reliability,pooled,manipulation (pooled),It made me reconsider selection at some point || if reliability was low I consider to go with my understanding and ignore Ai,no_change
69ea53a90c6cacb935a68043,ai-reliability,pooled,manipulation (pooled),"Yes, it did. I confirmed well before using the answers || Yes I used it",UNCODED
69f11629a735e5ddc2434cb9,ai-reliability,pooled,manipulation (pooled),i choose to believe when it was high and not believe when it was low || i double checked if the score was low,more_careful
66c62c2a76d4919685cd6767,ai-reliability,pooled,manipulation (pooled),it made me not trust it || heavily,UNCODED
6a0ee010a00d40c9212e139e,ai-reliability,pooled,manipulation (pooled),I find it very liable || I trusted AI's responses to my prompts,UNCODED
5bbb5e3f118c0600013c3202,ai-reliability,pooled,manipulation (pooled),It made me feel confident to an extent || I read it but still went with my gut,UNCODED
6a213d191d739202448d3b7d,ai-reliability,pooled,manipulation (pooled),"Made me more confident if there was a high reliability || Higher the reliability score, the more I trusted it's results",UNCODED
69fbbd287ad72ce563b72cb7,ai-reliability,pooled,manipulation (pooled),I just did the study judiciously. || I just did the study judiciously.,UNCODED
57c57ea095a3ea00016e5a14,ai-reliability,pooled,manipulation (pooled),i tended to trust the ai less when its reliability was lower so i got less wronjg aswers for it || i avoided trusting the ais answers as much if the reliability was low,trust_less
6a1c62ade144e261ce52fc53,ai-reliability,pooled,manipulation (pooled),no || no,no_change
5ec96e3609117f0a67231842,ai-reliability,pooled,manipulation (pooled),"the higher the reliability the more I accepted it || if it was very high, I thought it must be okay",UNCODED
6a00ec1a75c6444a2a6e3d69,ai-reliability,pooled,manipulation (pooled),The only thing it changed my certainty assumptions at the end of the questions || I had a brief look but accepted the AI answers regardless.,UNCODED
677f2415a436ac59cafc20a7,ai-reliability,pooled,manipulation (pooled),A little || I used that for the confidence scale,UNCODED
6a0480dac0d46c461e741542,ai-reliability,pooled,manipulation (pooled),The reliable information made me  concentrate on the AI suggestions and verify them against the task || I used it as a factor to weigh how much to give the AI is recommendation and whether to check again,more_careful
636cc5fa559ec4d93e272972,ai-reliability,pooled,manipulation (pooled),I was more willing to accept AI s answers if reliability was high || The reliability information percentage I checked before relying on information,UNCODED
6a185f2e5f903801a7899ddd,ai-reliability,pooled,manipulation (pooled),"In cases that were too complex for me to verify myself, if reliability was high I just accepted it. With low or medium reliability I always doubel checked || In cases that were too complex for me to verify myself, if reliability was high I just accepted it. With low or medium reliability I always doubel checked",more_careful
665ddc38a270e0c579baf993,ai-reliability,pooled,manipulation (pooled),I red the ai's answers to make sure they made sense || the reliability information would make me more or less skeptical of the ai's answers,trust_less
6234a3d5cd2f63c705e5842d,ai-reliability,pooled,manipulation (pooled),I did read the scenario and the questions but it would require too much mental faculty to check the AI's answers even when the reliability level was low || It only affected my confidence level,UNCODED
5edf878332e230257937edd1,ai-reliability,pooled,manipulation (pooled),If it was high I scrutinised the answers provided less || I paid attention to the suggestions to check the work,more_careful
69fced1caced4f03469e3287,ai-reliability,pooled,manipulation (pooled),When reliability was low i asked AI to recheck answers given often causing them to change. || I continued to rely on AI,UNCODED
6a243b3f378e1499259d8683,ai-reliability,pooled,manipulation (pooled),IT WAS MADE FASTER AND EASIER AS AI WILL ALWAYS GIVE FEED BACKS || I USED IT VERY WELL AND RELIED ON AI,UNCODED
6a03636a700eaf3d19f2809a,ai-reliability,pooled,manipulation (pooled),Reliability make me double check the answers thoroughly || not really but helpful,more_careful
