participant_id,condition,wave,run_index,task_id,task_name,scenario,authored_order,display_index,answer,correct_answer,correct,confidence,dwell_seconds,prompts_on_task
69e682966f693cecc39ac613,ai,2,0,6,ypc_02,Young Professionals Consulting,1,7,Only statement 2 is correct.,Neither of the two statements is correct.,0.0,78.0,286.614000082016,3
69e682966f693cecc39ac613,ai,2,0,7,ypc_03,Young Professionals Consulting,2,6,Only statement 1 is correct.,Only statement 2 is correct.,0.0,90.0,247.135999917984,2
69e682966f693cecc39ac613,ai,2,0,8,ypc_05,Young Professionals Consulting,3,9,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,69.0,94.99799990653992,3
69e682966f693cecc39ac613,ai,2,0,9,ypc_06,Young Professionals Consulting,4,8,Both statements are correct.,Only statement 1 is correct.,0.0,83.0,127.69000005722046,1
69e682966f693cecc39ac613,ai,2,0,10,car_racing_01,Incentive Car Racing,5,13,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,87.0,33.76799988746643,2
69e682966f693cecc39ac613,ai,2,0,11,car_racing_02,Incentive Car Racing,6,11,Only statement 2 is correct.,Both statements are correct.,0.0,69.0,395.6569998264313,3
69e682966f693cecc39ac613,ai,2,0,12,car_racing_03,Incentive Car Racing,7,12,Neither of the two statements is correct.,Only statement 2 is correct.,0.0,83.0,146.56000018119812,2
69e682966f693cecc39ac613,ai,2,0,13,car_racing_05,Incentive Car Racing,8,10,Only statement 1 is correct.,Only statement 1 is correct.,1.0,93.0,79.12400007247925,3
69e682966f693cecc39ac613,ai,2,0,14,graduation_party_01,Graduation Party,9,15,Only statement 2 is correct.,Only statement 2 is correct.,1.0,84.0,38.77499985694885,2
69e682966f693cecc39ac613,ai,2,0,15,graduation_party_05,Graduation Party,10,14,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,81.0,76.72900009155273,3
69e682966f693cecc39ac613,ai,2,0,16,graduation_party_06,Graduation Party,11,16,Only statement 2 is correct.,Neither of the two statements is correct.,0.0,89.0,39.69800019264221,2
69e682966f693cecc39ac613,ai,2,0,17,graduation_party_07,Graduation Party,12,17,Neither of the two statements is correct.,Only statement 2 is correct.,0.0,92.0,57.383999824523926,2
659585d0d682df995ad2c5b5,ai,2,0,6,ypc_02,Young Professionals Consulting,1,8,Only statement 1 is correct.,Neither of the two statements is correct.,0.0,63.0,594.4219999313354,4
659585d0d682df995ad2c5b5,ai,2,0,7,ypc_03,Young Professionals Consulting,2,7,Only statement 2 is correct.,Only statement 2 is correct.,1.0,57.0,379.70700001716614,3
659585d0d682df995ad2c5b5,ai,2,0,8,ypc_05,Young Professionals Consulting,3,6,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,19.0,1003.6010000705719,1
659585d0d682df995ad2c5b5,ai,2,0,9,ypc_06,Young Professionals Consulting,4,9,Only statement 2 is correct.,Only statement 1 is correct.,0.0,36.0,544.0490000247955,8
659585d0d682df995ad2c5b5,ai,2,0,10,car_racing_01,Incentive Car Racing,5,10,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,55.0,108.47900009155273,1
659585d0d682df995ad2c5b5,ai,2,0,11,car_racing_02,Incentive Car Racing,6,13,Only statement 2 is correct.,Both statements are correct.,0.0,59.0,105.07799983024597,1
659585d0d682df995ad2c5b5,ai,2,0,12,car_racing_03,Incentive Car Racing,7,11,Only statement 2 is correct.,Only statement 2 is correct.,1.0,56.0,100.10800004005432,1
659585d0d682df995ad2c5b5,ai,2,0,13,car_racing_05,Incentive Car Racing,8,12,Only statement 2 is correct.,Only statement 1 is correct.,0.0,58.0,109.5329999923706,1
659585d0d682df995ad2c5b5,ai,2,0,14,graduation_party_01,Graduation Party,9,15,Only statement 2 is correct.,Only statement 2 is correct.,1.0,66.0,88.98099994659424,1
659585d0d682df995ad2c5b5,ai,2,0,15,graduation_party_05,Graduation Party,10,16,Only statement 1 is correct.,Only statement 1 is correct.,1.0,61.0,128.27999997138977,1
659585d0d682df995ad2c5b5,ai,2,0,16,graduation_party_06,Graduation Party,11,17,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,67.0,81.89299988746643,1
659585d0d682df995ad2c5b5,ai,2,0,17,graduation_party_07,Graduation Party,12,14,Only statement 1 is correct.,Only statement 2 is correct.,0.0,62.0,156.36600017547607,2
6a04d6f7d3e6d5170c2f1584,ai,2,0,6,ypc_02,Young Professionals Consulting,1,10,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,53.0,85.18400001525879,2
6a04d6f7d3e6d5170c2f1584,ai,2,0,7,ypc_03,Young Professionals Consulting,2,11,Only statement 1 is correct.,Only statement 2 is correct.,0.0,55.0,38.134000062942505,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,8,ypc_05,Young Professionals Consulting,3,12,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,49.0,58.99799990653992,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,9,ypc_06,Young Professionals Consulting,4,13,Only statement 2 is correct.,Only statement 1 is correct.,0.0,52.0,47.040000200271606,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,10,car_racing_01,Incentive Car Racing,5,6,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,78.0,111.13099980354309,2
6a04d6f7d3e6d5170c2f1584,ai,2,0,11,car_racing_02,Incentive Car Racing,6,8,Only statement 2 is correct.,Both statements are correct.,0.0,68.0,45.08299994468689,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,12,car_racing_03,Incentive Car Racing,7,9,Neither of the two statements is correct.,Only statement 2 is correct.,0.0,62.0,54.78699994087219,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,13,car_racing_05,Incentive Car Racing,8,7,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,68.0,57.47200012207031,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,14,graduation_party_01,Graduation Party,9,14,Only statement 2 is correct.,Only statement 2 is correct.,1.0,53.0,97.56200003623962,2
6a04d6f7d3e6d5170c2f1584,ai,2,0,15,graduation_party_05,Graduation Party,10,17,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,48.0,41.80399990081787,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,16,graduation_party_06,Graduation Party,11,15,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,46.0,23.179999828338623,1
6a04d6f7d3e6d5170c2f1584,ai,2,0,17,graduation_party_07,Graduation Party,12,16,Only statement 1 is correct.,Only statement 2 is correct.,0.0,42.0,38.91700005531311,1
6a22afd22ece5ef29b598074,ai,2,0,6,ypc_02,Young Professionals Consulting,1,8,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,79.0,175.7189998626709,1
6a22afd22ece5ef29b598074,ai,2,0,7,ypc_03,Young Professionals Consulting,2,6,Only statement 2 is correct.,Only statement 2 is correct.,1.0,94.0,265.279000043869,2
6a22afd22ece5ef29b598074,ai,2,0,8,ypc_05,Young Professionals Consulting,3,9,Only statement 1 is correct.,Only statement 1 is correct.,1.0,85.0,118.125,2
6a22afd22ece5ef29b598074,ai,2,0,9,ypc_06,Young Professionals Consulting,4,7,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,65.0,242.94400000572205,2
6a22afd22ece5ef29b598074,ai,2,0,10,car_racing_01,Incentive Car Racing,5,11,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,99.0,64.4599997997284,1
6a22afd22ece5ef29b598074,ai,2,0,11,car_racing_02,Incentive Car Racing,6,12,Only statement 2 is correct.,Both statements are correct.,0.0,99.0,155.48800015449524,1
6a22afd22ece5ef29b598074,ai,2,0,12,car_racing_03,Incentive Car Racing,7,13,Only statement 2 is correct.,Only statement 2 is correct.,1.0,97.0,45.80399990081787,1
6a22afd22ece5ef29b598074,ai,2,0,13,car_racing_05,Incentive Car Racing,8,10,Only statement 1 is correct.,Only statement 1 is correct.,1.0,94.0,362.06700015068054,3
6a22afd22ece5ef29b598074,ai,2,0,14,graduation_party_01,Graduation Party,9,15,Only statement 2 is correct.,Only statement 2 is correct.,1.0,67.0,279.2000000476837,3
6a22afd22ece5ef29b598074,ai,2,0,15,graduation_party_05,Graduation Party,10,17,Neither of the two statements is correct.,Only statement 1 is correct.,0.0,80.0,35.64300012588501,1
6a22afd22ece5ef29b598074,ai,2,0,16,graduation_party_06,Graduation Party,11,14,Neither of the two statements is correct.,Neither of the two statements is correct.,1.0,81.0,242.4119999408722,2
6a22afd22ece5ef29b598074,ai,2,0,17,graduation_party_07,Graduation Party,12,16,Neither of the two statements is correct.,Only statement 2 is correct.,0.0,78.0,74.08500003814697,1
67d4773442ee746bb00b2542,ai,2,0,6,ypc_02,Young Professionals Consulting,1,12,Only statement 1 is correct.,Neither of the two statements is correct.,0.0,99.0,73.7720000743866,1
67d4773442ee746bb00b2542,ai,2,0,7,ypc_03,Young Professionals Consulting,2,10,Only statement 2 is correct.,Only statement 2 is correct.,1.0,78.0,396.7850000858307,1
67d4773442ee746bb00b2542,ai,2,0,8,ypc_05,Young Professionals Consulting,3,11,Only statement 1 is correct.,Only statement 1 is correct.,1.0,90.0,129.51600003242493,1
67d4773442ee746bb00b2542,ai,2,0,9,ypc_06,Young Professionals Consulting,4,13,Both statements are correct.,Only statement 1 is correct.,0.0,92.0,148.82099986076355,1
67d4773442ee746bb00b2542,ai,2,0,10,car_racing_01,Incentive Car Racing,5,14,Only statement 1 is correct.,Neither of the two statements is correct.,0.0,99.0,88.17300009727478,1
