participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_11,sus_aggregate,ueq_1,ueq_2,ueq_3,ueq_4,ueq_5,ueq_6,ueq_7,ueq_8,ueq_aggregate,tlx_1,tlx_2,tlx_3,tlx_4,tlx_5,tlx_6,tlx_aggregate,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_aggregate,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_aggregate,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone,I usually double-checked AI-generated answers before relying on them.,The step by step reply shown in this study changed how I interacted with the AI.,The multiple alternatives reply helped me evaluate the AI’s answer more carefully.,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","How, if at all, did the multiple alternatives reply changed the way you interacted with the AI?","If you have any further comments about your interaction with the AI, please share them here."
69e682966f693cecc39ac613,ai,2026-08-16T20:25:43.543554+00:00,True,26,['Woman'],Admin Manager,Native English speaker,Vocational college degree,Several times a day,B,0,78.0,A,0,90.0,D,0,69.0,C,0,83.0,D,1,87.0,B,0,69.0,D,0,83.0,A,1,93.0,B,1,84.0,D,0,81.0,B,0,89.0,D,0,92.0,3,83.17,6.44,5.0,1.0,5.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,1.0,97.5,7.0,7.0,7.0,7.0,5.0,6.0,5.0,4.0,2.0,15.0,1.0,1.0,20.0,17.0,1.0,9.17,2.0,4.0,1.0,2.0,5.0,5.0,4.17,5.0,4.0,3.0,2.0,5.0,2.0,4.0,4.0,3.88,1,1,1,31,12,5,8,5,5,8,5,2,4,"I used AI to interpret the tasks quickly and then double checked the answers to what AI had said, if I was unsure then I had AI to double check the answers to ensure it was true",I made sure to double check the answers with AI to ensure this was correct,
659585d0d682df995ad2c5b5,ai,2026-08-16T21:51:36.239737+00:00,True,63,['Woman'],Tutor,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,63.0,B,1,57.0,D,0,19.0,B,0,36.0,D,1,55.0,B,0,59.0,B,1,56.0,B,0,58.0,B,1,66.0,A,1,61.0,D,1,67.0,A,0,62.0,6,54.92,10.83,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,52.5,5.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,-0.38,20.0,8.0,20.0,2.0,14.0,18.0,13.67,4.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.38,1,1,1,26,8,5,10,5,0,10,2,4,3,Initially I tried to work things out partially on my own first but the task would have taken me too long. Then I tried to check AI's logic by getting it (for example) to show me possible timetables. I did notice one mistake it had made which made me worry that some of the other legwork it had done might also be wrong. In the end I was too short of time to not trust it,Yes I realised I needed to re-frame questions,
6a04d6f7d3e6d5170c2f1584,ai,2026-08-17T10:25:12.750901+00:00,True,59,['Man'],Freelance Creative Video Editor,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,D,1,53.0,A,0,55.0,D,0,49.0,B,0,52.0,D,1,78.0,B,0,68.0,D,0,62.0,D,0,68.0,B,1,53.0,D,0,48.0,D,1,46.0,A,0,42.0,4,56.17,2.0,1.0,5.0,5.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,4.0,42.5,2.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,-1.88,20.0,1.0,1.0,20.0,20.0,20.0,13.67,2.0,4.0,1.0,1.0,3.0,3.0,3.67,2.0,1.0,3.0,3.0,4.0,5.0,5.0,1.0,2.5,1,1,1,16,6,2,10,6,0,12,1,1,1,The scenarios were very complicated. I did use paper or write anything down. If I had been able to I believe I could have scored better.,None at all.,
6a22afd22ece5ef29b598074,ai,2026-08-17T10:54:24.779609+00:00,True,35,['Man'],Unemployed,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,79.0,B,1,94.0,A,1,85.0,D,0,65.0,D,1,99.0,B,0,99.0,B,1,97.0,A,1,94.0,B,1,67.0,D,0,80.0,D,1,81.0,D,0,78.0,8,84.83,6.5,5.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,2.0,5.0,1.0,87.5,6.0,5.0,7.0,5.0,6.0,6.0,5.0,3.0,1.38,15.0,2.0,2.0,18.0,12.0,1.0,8.33,3.0,4.0,2.0,2.0,4.0,4.0,3.83,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1,1,1,22,10,5,12,12,4,12,4,5,5,,,
67d4773442ee746bb00b2542,ai,2026-08-18T06:12:19.967222+00:00,True,47,['Woman'],sofrware engineer,Native English speaker,Higher tertiary education degree (Master's level),About once a day,A,0,99.0,B,1,78.0,A,1,90.0,C,0,92.0,A,0,99.0,D,0,85.0,D,0,81.0,A,1,98.0,B,1,88.0,D,0,91.0,D,1,88.0,A,0,99.0,5,90.67,-3.89,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,3.0,1.0,90.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,2.88,19.0,5.0,7.0,19.0,10.0,1.0,10.17,3.0,3.0,3.0,3.0,4.0,3.0,3.17,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.12,1,1,1,14,10,10,6,9,12,9,5,4,5,,,
67894c4106e9380ced60256e,ai,2026-07-16T15:06:05.016846+00:00,True,26,['Woman'],Housewife,Native English speaker,Upper secondary school / High school,About once a day,A,0,100.0,A,0,93.0,D,0,85.0,B,0,100.0,A,0,81.0,B,0,100.0,D,0,100.0,D,0,16.0,B,1,28.0,D,0,76.0,D,1,100.0,B,1,100.0,3,81.58,-7.44,4.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,5.0,1.0,92.5,5.0,6.0,7.0,4.0,4.0,4.0,2.0,2.0,0.25,20.0,1.0,6.0,14.0,13.0,11.0,10.83,2.0,1.0,5.0,4.0,2.0,1.0,1.5,5.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,4.38,1,1,1,18,10,5,8,12,4,12,3,,,I tended to copt and paste into the AI while I read over the scenario and question myself. I then double checked the AIs answers to see if there was any issues with them. I didn't find any so I went with what the AI said. From what i could tell the AI made sense every time.,,NA
69fd9d6f7d9cd6c042e8a1cc,ai,2026-07-16T15:12:39.365457+00:00,True,32,['Man'],Space Planner,Native English speaker,Upper secondary school / High school,Several times a day,D,1,100.0,A,0,100.0,D,0,100.0,B,0,100.0,D,1,100.0,B,0,100.0,B,1,100.0,D,0,100.0,C,0,66.0,D,0,100.0,D,1,99.0,D,0,100.0,4,97.08,4.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,2.62,3.0,1.0,1.0,20.0,1.0,1.0,4.5,2.0,3.0,2.0,3.0,3.0,2.0,2.83,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1,1,1,14,12,10,12,12,7,12,2,,,"I didn't really use any strategies, I just copied all of the available information into the AI and asked it to solve the problems for me",,
6a2012eff90f7af67fdfb112,ai,2026-07-16T15:17:37.324496+00:00,True,32,['Man'],unemployed,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,A,0,100.0,A,0,92.0,D,0,100.0,B,0,100.0,D,1,100.0,B,0,100.0,B,1,99.0,D,0,100.0,C,0,100.0,A,1,100.0,D,1,100.0,C,0,80.0,4,97.58,3.25,5.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,2.0,87.5,6.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,1.88,12.0,4.0,8.0,15.0,6.0,4.0,8.17,2.0,4.0,2.0,3.0,4.0,4.0,3.5,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.38,1,1,1,17,12,12,12,12,8,12,3,,,"First few I would decide my answer before reading the prompt of the AI and because they would match, I would then generally check the AIs prompts first then double check them if I had doubts. ",,
6a1c0a74391cb03e607159f3,ai,2026-07-16T15:35:10.756091+00:00,True,19,['Man'],Teaching Apprenticeship,Native English speaker,Vocational college degree,Several times a day,D,1,77.0,B,1,74.0,A,1,52.0,A,1,50.0,D,1,43.0,C,1,89.0,B,1,53.0,D,0,23.0,B,1,91.0,A,1,93.0,D,1,48.0,B,1,78.0,11,64.25,45.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0,2.0,4.0,2.0,75.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,1.38,15.0,4.0,2.0,14.0,12.0,3.0,8.33,4.0,5.0,2.0,1.0,4.0,3.0,4.17,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,1,1,1,18,10,5,8,8,4,6,5,,,I checked over the AI's thinking,,
5c0430c71a20110001e9b05a,ai,2026-07-16T15:41:37.277576+00:00,True,44,['Woman'],manager,Native English speaker,Vocational college degree,Several times a day,D,1,87.0,A,0,90.0,A,1,98.0,D,0,98.0,D,1,96.0,A,0,100.0,D,0,100.0,D,0,100.0,A,0,88.0,A,1,82.0,A,0,94.0,A,0,97.0,4,94.17,-5.12,5.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,4.0,3.0,70.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,2.88,15.0,13.0,14.0,14.0,12.0,16.0,14.0,2.0,3.0,2.0,3.0,4.0,4.0,3.33,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.25,1,1,1,18,12,4,12,10,4,12,3,,,,,
