participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_11,sus_aggregate,ueq_1,ueq_2,ueq_3,ueq_4,ueq_5,ueq_6,ueq_7,ueq_8,ueq_aggregate,tlx_1,tlx_2,tlx_3,tlx_4,tlx_5,tlx_6,tlx_aggregate,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_aggregate,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_aggregate,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone,I usually double-checked AI-generated answers before relying on them.,The post task reflection shown in this study changed how I understand the task.,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","How, if at all, did the post task reflection changed the way you understand the task?","If you have any further comments about your interaction with the AI, please share them here."
69ff99e1cd9b013439f9530d,reflection-task,2026-08-14T10:19:40.442599+00:00,True,31,['Man'],HR Manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,69.0,D,0,67.0,D,0,70.0,A,1,98.0,D,1,95.0,B,0,94.0,D,0,98.0,C,0,94.0,B,1,95.0,A,1,84.0,D,1,97.0,D,0,99.0,6,88.33,2.67,4.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3.0,4.0,1.0,82.5,6.0,6.0,5.0,5.0,4.0,4.0,6.0,5.0,1.12,12.0,3.0,7.0,20.0,15.0,4.0,10.17,5.0,4.0,1.0,2.0,4.0,5.0,4.5,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.12,1,1,1,45,11,10,10,10,9,7,5,3,"I had the AI double check its findings and if it changed it's mind I would have it check again. If it couldn't give a clear answer I had it restart from the beginning, going over everything it had done. I asked for proof of its reasoning and to make sure there weren't any mistakes, errors or misunderstandings.",It had me thinking about what my thoughts were on the AI chat.,Nothing else to add.
5dcfaad2dd9a740c2493fc28,reflection-task,2026-08-14T10:32:34.189286+00:00,True,36,['Man'],Editor,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,D,1,11.0,A,0,15.0,A,1,27.0,C,0,68.0,D,1,63.0,B,0,93.0,D,0,63.0,A,1,61.0,B,1,82.0,A,1,14.0,D,1,75.0,D,0,70.0,7,53.5,-14.23,2.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,72.5,6.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,0.25,20.0,2.0,18.0,4.0,19.0,19.0,13.67,2.0,2.0,2.0,4.0,3.0,2.0,2.5,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.5,0,1,1,31,8,2,8,6,0,4,5,5,I used my own reasoning and logic and tried to match that up with the AI's answer and also asked it plenty of times to double and triple check the answers that it have gave me to ensure it came to the correct conclusions.,It made me have less confidence in myself because I struggled and also the AI because it gave me conflicting answers ,N/A
5c6e60b04e08ad00018cc995,reflection-task,2026-08-14T10:50:37.268688+00:00,True,60,['Woman'],lawyer,Native English speaker,Higher tertiary education degree (Master's level),A few times a week,D,1,98.0,A,0,48.0,A,1,42.0,B,0,60.0,D,1,98.0,D,0,96.0,B,1,65.0,C,0,76.0,B,1,96.0,D,0,97.0,B,0,30.0,A,0,98.0,5,75.33,7.66,4.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,3.0,75.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,20.0,7.0,20.0,4.0,16.0,20.0,14.5,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,1,1,1,50,8,5,12,7,4,12,4,3,I tried to consider the question myself but felt very rushed and didn't really have time. I used the AI to confirm or even provide answers,I only discovered these part way through. They were helpful as I could recall the questions in the earlier questions,I would have liked more time to understand the AI butit was all vey rushed
6a43ebbf2ae2c486a86a665b,reflection-task,2026-08-14T11:07:29.458533+00:00,True,45,['Man'],Operations manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,92.0,D,0,95.0,A,1,97.0,D,0,99.0,D,1,97.0,C,1,100.0,B,1,97.0,C,0,98.0,B,1,97.0,D,0,98.0,D,1,98.0,B,1,94.0,8,96.83,-1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,52.5,2.0,3.0,7.0,7.0,7.0,7.0,6.0,5.0,1.5,19.0,19.0,19.0,19.0,18.0,19.0,18.83,5.0,5.0,5.0,5.0,3.0,5.0,3.33,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1,1,1,14,10,10,9,10,10,8,5,5,The AI and my reasoning,Yes It did,None
6a256986c630c70c37dade5d,reflection-task,2026-08-14T11:18:12.105861+00:00,True,31,['Man'],information technology expert,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,78.0,D,0,58.0,D,0,79.0,D,0,79.0,D,1,71.0,B,0,79.0,B,1,88.0,D,0,87.0,B,1,72.0,A,1,87.0,D,1,78.0,D,0,78.0,6,77.83,2.33,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,57.5,6.0,6.0,4.0,5.0,5.0,7.0,6.0,5.0,1.5,12.0,16.0,5.0,12.0,10.0,5.0,10.0,4.0,4.0,2.0,3.0,4.0,4.0,3.83,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.88,1,1,1,43,9,7,11,10,3,7,1,4,asking the ai constantly,,
676053613a0bc18718ea31c1,reflection-task,2026-08-14T11:19:57.116008+00:00,True,23,['Woman'],housewife,Native English speaker,Upper secondary school / High school,Less than once a month,D,1,99.0,C,0,100.0,D,0,100.0,A,1,100.0,D,1,100.0,C,1,84.0,D,0,100.0,A,1,100.0,B,1,100.0,D,0,100.0,B,0,100.0,B,1,100.0,7,98.58,-2.43,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,90.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,20.0,1.0,4.0,18.0,20.0,16.0,13.17,1.0,1.0,1.0,5.0,1.0,1.0,1.67,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,4.25,1,1,1,25,12,6,12,12,1,12,1,5,none,it didnt ,
5adc587be0feeb0001ca9d0a,reflection-task,2026-08-14T11:38:45.649980+00:00,True,40,['Woman'],researcher and learning facilitator,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,D,1,70.0,A,0,63.0,D,0,68.0,C,0,50.0,B,0,76.0,B,0,77.0,B,1,82.0,A,1,70.0,B,1,80.0,A,1,76.0,D,1,79.0,B,1,64.0,7,71.25,7.63,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,1.0,97.5,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,1.62,15.0,5.0,19.0,14.0,14.0,16.0,13.83,3.0,4.0,2.0,2.0,4.0,4.0,3.83,4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.38,1,1,1,37,6,3,6,8,8,8,4,3,I asked the model for bullet points to extract the key points from the scenario. I also asked for it to justify any answers it gave so that I could fact check myself. I would have liked more time though ,It made me ensure that I truly understood the reasoning for my answers so that I could justify them. ,
663ba23f097e7f91190f09f4,reflection-task,2026-08-14T11:44:24.810598+00:00,True,28,['Man'],Customer Support ,Native English speaker,Upper secondary school / High school,About once a day,D,1,95.0,C,0,94.0,A,1,96.0,C,0,87.0,D,1,98.0,B,0,88.0,B,1,96.0,D,0,94.0,B,1,92.0,C,0,91.0,A,0,82.0,D,0,73.0,5,90.5,8.4,4.0,1.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,75.0,7.0,5.0,6.0,6.0,2.0,2.0,3.0,2.0,0.12,14.0,4.0,13.0,5.0,15.0,15.0,11.0,1.0,2.0,5.0,5.0,4.0,4.0,2.17,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.88,1,1,1,17,10,8,10,12,4,12,1,1,none I just trusted AI,Not at all,n/a
6a20a9015099db8796ac2b42,reflection-task,2026-08-14T11:46:51.490235+00:00,True,23,['Man'],financial analyst,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,86.0,A,0,85.0,D,0,82.0,A,1,81.0,D,1,81.0,B,0,82.0,B,1,83.0,A,1,88.0,B,1,95.0,A,1,74.0,A,0,80.0,B,1,87.0,7,83.67,1.14,5.0,5.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,60.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,2.62,4.0,16.0,3.0,17.0,3.0,4.0,7.83,4.0,4.0,4.0,5.0,5.0,3.0,3.17,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.75,0,1,0,17,11,8,11,11,8,11,4,5,i listed the constraints compared each option and checked the schedule for consistency before choosing,it helped me notiicng the timing constraints and verify that myt reasoning was consistient across the task ,the ai was useful for summarizing the scenarios and checking calculation
576fc3462984e70001a97fc3,reflection-task,2026-08-14T11:58:58.596412+00:00,True,35,['Man'],Drama Teacher,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,83.0,A,0,88.0,D,0,93.0,A,1,68.0,D,1,100.0,C,1,88.0,B,1,88.0,D,0,79.0,B,1,87.0,A,1,88.0,D,1,77.0,D,0,98.0,8,86.42,-4.62,4.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,72.5,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,0.75,18.0,5.0,12.0,16.0,17.0,13.0,13.5,4.0,3.0,2.0,2.0,4.0,4.0,3.83,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.88,1,1,1,27,10,5,8,11,4,10,4,3,I tried to put my thoughts to the AI when I wasn't sure if I agreed or if I disagreed. This meant there was some working together to be confident with the answer.,I tried to take in more of the wording so that I could make my justification for the answer clearer.,
