participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
69e682966f693cecc39ac613,ai,2026-08-16T20:25:43.543554+00:00,True,26,['Woman'],Admin Manager,Native English speaker,Vocational college degree,Several times a day,D,0,78.0,C,0,90.0,B,0,69.0,A,0,83.0,B,0,87.0,D,1,69.0,B,0,83.0,C,1,93.0,D,0,84.0,B,0,81.0,D,0,89.0,B,0,92.0,2,83.17,-2.6,97.5,2.0,9.17,4.17,3.88,1,1,1,31,12,5,8,5,5,8
659585d0d682df995ad2c5b5,ai,2026-08-16T21:51:36.239737+00:00,True,63,['Woman'],Tutor,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,63.0,D,1,57.0,B,0,19.0,D,1,36.0,B,0,55.0,D,1,59.0,D,0,56.0,D,0,58.0,D,0,66.0,C,1,61.0,B,0,67.0,C,0,62.0,5,54.92,0.49,52.5,-0.38,13.67,4.0,3.38,1,1,1,26,8,5,10,5,0,10
6a04d6f7d3e6d5170c2f1584,ai,2026-08-17T10:25:12.750901+00:00,True,59,['Man'],Freelance Creative Video Editor,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,53.0,C,0,55.0,B,0,49.0,D,1,52.0,B,0,78.0,D,1,68.0,B,0,62.0,B,0,68.0,D,0,53.0,B,0,48.0,B,0,46.0,C,0,42.0,2,56.17,4.6,42.5,-1.88,13.67,3.67,2.5,1,1,1,16,6,2,10,6,0,12
6a22afd22ece5ef29b598074,ai,2026-08-17T10:54:24.779609+00:00,True,35,['Man'],Unemployed,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,79.0,D,1,94.0,C,0,85.0,B,0,65.0,B,0,99.0,D,1,99.0,D,0,97.0,C,1,94.0,D,0,67.0,B,0,80.0,B,0,81.0,B,0,78.0,3,84.83,14.44,87.5,1.38,8.33,3.83,4.0,1,1,1,22,10,5,12,12,4,12
67d4773442ee746bb00b2542,ai,2026-08-18T06:12:19.967222+00:00,True,47,['Woman'],sofrware engineer,Native English speaker,Higher tertiary education degree (Master's level),About once a day,C,1,99.0,D,1,78.0,C,0,90.0,A,0,92.0,C,1,99.0,B,0,85.0,B,0,81.0,C,1,98.0,D,0,88.0,B,0,91.0,B,0,88.0,C,0,99.0,4,90.67,4.25,90.0,2.88,10.17,3.17,3.12,1,1,1,14,10,10,6,9,12,9
67894c4106e9380ced60256e,ai,2026-07-16T15:06:05.016846+00:00,True,26,['Woman'],Housewife,Native English speaker,Upper secondary school / High school,About once a day,C,1,100.0,C,0,93.0,B,0,85.0,D,1,100.0,C,1,81.0,D,1,100.0,B,0,100.0,B,0,16.0,D,0,28.0,B,0,76.0,B,0,100.0,D,1,100.0,5,81.58,25.06,92.5,0.25,10.83,1.5,4.38,1,1,1,18,10,5,8,12,4,12
69fd9d6f7d9cd6c042e8a1cc,ai,2026-07-16T15:12:39.365457+00:00,True,32,['Man'],Space Planner,Native English speaker,Upper secondary school / High school,Several times a day,B,0,100.0,C,0,100.0,B,0,100.0,D,1,100.0,B,0,100.0,D,1,100.0,D,0,100.0,B,0,100.0,A,0,66.0,B,0,100.0,B,0,99.0,B,0,100.0,2,97.08,3.5,100.0,2.62,4.5,2.83,5.0,1,1,1,14,12,10,12,12,7,12
6a2012eff90f7af67fdfb112,ai,2026-07-16T15:17:37.324496+00:00,True,32,['Man'],unemployed,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,C,1,100.0,C,0,92.0,B,0,100.0,D,1,100.0,B,0,100.0,D,1,100.0,D,0,99.0,B,0,100.0,A,0,100.0,C,1,100.0,B,0,100.0,A,0,80.0,4,97.58,3.62,87.5,1.88,8.17,3.5,4.38,1,1,1,17,12,12,12,12,8,12
6a1c0a74391cb03e607159f3,ai,2026-07-16T15:35:10.756091+00:00,True,19,['Man'],Teaching Apprenticeship,Native English speaker,Vocational college degree,Several times a day,B,0,77.0,D,1,74.0,C,0,52.0,C,0,50.0,B,0,43.0,A,0,89.0,D,0,53.0,B,0,23.0,D,0,91.0,C,1,93.0,B,0,48.0,D,1,78.0,3,64.25,23.22,75.0,1.38,8.33,4.17,3.0,1,1,1,18,10,5,8,8,4,6
5c0430c71a20110001e9b05a,ai,2026-07-16T15:41:37.277576+00:00,True,44,['Woman'],manager,Native English speaker,Vocational college degree,Several times a day,B,0,87.0,C,0,90.0,C,0,98.0,B,0,98.0,B,0,96.0,C,0,100.0,B,0,100.0,B,0,100.0,C,0,88.0,C,1,82.0,C,0,94.0,C,0,97.0,1,94.17,-13.27,70.0,2.88,14.0,3.33,4.25,1,1,1,18,12,4,12,10,4,12
676ada80fe4f612146e3c8b3,ai,2026-07-16T15:45:33.657022+00:00,True,34,['Man'],it manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,99.0,D,1,100.0,D,0,99.0,A,0,99.0,B,0,100.0,D,1,100.0,B,0,99.0,C,1,100.0,A,0,98.0,B,0,100.0,D,0,99.0,B,0,98.0,3,99.25,1.0,100.0,3.0,6.0,4.0,4.75,1,1,1,16,12,9,12,12,5,6
5a9c41f2dbdb470001eeef9c,ai,2026-07-16T15:49:30.483426+00:00,True,50,['Woman'],Librarian,Native English speaker,Higher tertiary education degree (Master's level),About once a week,C,1,24.0,B,0,10.0,C,0,29.0,C,0,78.0,B,0,99.0,A,0,92.0,B,0,67.0,B,0,37.0,D,0,79.0,C,1,32.0,B,0,84.0,C,0,55.0,2,57.17,-35.0,65.0,0.38,9.33,4.83,3.12,1,1,1,22,8,6,6,9,6,10
614b11e399369a0d52b5fbf6,ai,2026-07-16T15:56:16.672823+00:00,True,33,['Man'],Software engineer,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,81.0,C,0,100.0,D,0,89.0,D,1,100.0,B,0,100.0,D,1,100.0,D,0,92.0,C,1,74.0,D,0,63.0,B,0,92.0,D,0,67.0,C,0,76.0,3,86.17,6.89,100.0,1.25,3.83,3.83,4.62,1,0,1,15,10,10,11,12,6,12
5ca9106716aa84001725d880,ai,2026-07-16T16:06:30.100863+00:00,True,34,['Woman'],IT DIRECTOR ,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,64.0,D,1,62.0,B,0,60.0,A,0,80.0,B,0,74.0,D,1,62.0,D,0,55.0,C,1,56.0,D,0,45.0,A,0,72.0,B,0,21.0,D,1,40.0,4,57.58,-3.88,92.5,2.0,8.0,4.5,3.75,1,1,1,16,8,4,9,7,6,7
