participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
612a1e54112f947dc881398a,alternatives,2026-08-14T09:34:34.231838+00:00,True,27,['Man'],Teaching Assistant,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,84.0,C,0,87.0,B,0,83.0,B,0,77.0,B,0,100.0,B,0,88.0,B,0,86.0,A,0,53.0,D,0,75.0,B,0,75.0,D,0,84.0,B,0,81.0,0,81.08,,85.0,1.0,10.67,3.0,4.12,1,1,1,13,12,8,6,8,6,8
6a023f4680391bcad5d12a8e,alternatives,2026-08-14T09:41:07.476465+00:00,True,35,['Man'],Editor,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a week,B,0,94.0,D,1,42.0,C,0,67.0,C,0,28.0,B,0,84.0,D,1,85.0,D,0,82.0,D,0,38.0,A,0,40.0,C,1,87.0,B,0,33.0,D,1,30.0,4,59.17,2.75,65.0,0.75,8.5,3.0,3.38,1,0,1,13,10,8,10,8,3,8
5b0f27321e55760001b9a8a5,alternatives,2026-08-14T09:47:53.893939+00:00,True,45,['Woman'],Business Analyst ,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,82.0,A,0,64.0,B,0,80.0,B,0,68.0,B,0,98.0,D,1,92.0,D,0,75.0,B,0,59.0,D,0,89.0,B,0,66.0,D,0,75.0,B,0,73.0,1,76.75,16.64,75.0,1.12,10.0,3.83,3.0,1,1,1,22,12,6,12,10,2,10
6a05af046f4fff8e7c4bf65f,alternatives,2026-08-14T09:52:53.798113+00:00,True,29,['Woman'],Customer service,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,95.0,A,0,71.0,B,0,88.0,B,0,93.0,C,1,92.0,A,0,100.0,B,0,74.0,A,0,80.0,D,0,89.0,B,0,89.0,D,0,91.0,B,0,73.0,1,86.25,6.27,82.5,0.25,10.17,4.17,3.25,1,1,1,19,12,10,9,10,8,9
5c0f6121a166d700013881ec,alternatives,2026-08-14T09:54:07.161532+00:00,True,34,['Man'],Self Employed,Fully fluent,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,65.0,A,0,70.0,C,0,68.0,C,0,64.0,B,0,96.0,D,1,100.0,D,0,60.0,B,0,90.0,D,0,75.0,B,0,87.0,B,0,81.0,D,1,89.0,2,78.75,18.9,75.0,0.5,8.17,3.17,3.5,1,1,1,24,10,8,7,6,4,5
6a14f818ca7d49f469ab3163,alternatives,2026-08-14T09:55:49.725148+00:00,True,45,['Man'],Unemployed,Native English speaker,Upper secondary school / High school,Several times a day,B,0,91.0,A,0,100.0,B,0,89.0,A,0,87.0,C,1,96.0,D,1,92.0,B,0,66.0,B,0,57.0,D,0,100.0,B,0,71.0,D,0,99.0,B,0,79.0,2,85.58,10.1,80.0,1.5,10.83,3.67,3.62,1,1,1,19,10,6,12,8,3,6
69f1386d8f8e9af4ec5759a7,alternatives,2026-08-14T10:14:52.635672+00:00,True,30,['Woman'],Artist,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,C,1,51.0,B,0,70.0,B,0,38.0,B,0,72.0,B,0,94.0,B,0,34.0,B,0,97.0,C,1,51.0,D,0,53.0,B,0,76.0,B,0,100.0,B,0,19.0,2,62.92,-14.3,72.5,0.38,10.17,3.5,3.12,1,1,1,34,8,6,9,8,7,9
61472242d56808cc5a4c94d9,alternatives,2026-08-14T10:18:37.848576+00:00,True,32,['Woman'],sales assistant,Native English speaker,Upper secondary school / High school,Less than once a month,A,0,96.0,C,0,69.0,B,0,100.0,A,0,95.0,B,0,93.0,B,0,86.0,C,0,59.0,B,0,60.0,D,0,100.0,C,1,98.0,B,0,74.0,B,0,100.0,1,85.83,13.27,80.0,0.5,15.67,3.5,2.38,1,1,1,16,8,5,12,6,3,6
6a06ee4535f3599505bc54f6,alternatives,2026-08-14T10:29:01.206465+00:00,True,32,['Man'],Software Engineer,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,21.0,C,0,66.0,A,1,21.0,A,0,12.0,C,1,40.0,B,0,64.0,D,0,32.0,C,1,54.0,C,0,35.0,D,0,46.0,B,0,76.0,C,0,19.0,4,40.5,-9.75,95.0,2.0,9.67,5.0,4.0,1,1,1,21,6,3,10,3,1,10
59d6165050f88f000161e951,alternatives,2026-08-14T10:35:28.245261+00:00,True,32,['Woman'],Teacher,Native English speaker,Higher tertiary education degree (Master's level),About once a day,C,1,72.0,D,1,71.0,D,0,100.0,C,0,93.0,B,0,93.0,D,1,58.0,D,0,100.0,D,0,76.0,A,0,97.0,A,0,100.0,C,0,97.0,A,0,100.0,3,88.08,-28.11,62.5,0.62,4.5,2.33,3.12,1,1,1,15,12,5,12,9,8,8
