participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
6a1fd86b35130b24ecb78cbb,pause-points,2026-08-14T09:46:06.848439+00:00,True,31,['Man'],Technical Manager,Native English speaker,Vocational college degree,Several times a day,C,1,100.0,B,0,100.0,B,0,100.0,B,0,100.0,B,0,100.0,B,0,100.0,B,0,100.0,C,1,100.0,D,0,100.0,B,0,100.0,D,0,100.0,D,1,100.0,3,100.0,0.0,35.0,-1.0,10.0,3.17,3.12,1,1,1,45,12,5,12,12,8,6
6a099929b303063f931ed8c6,pause-points,2026-08-14T09:50:25.359424+00:00,True,42,['Man'],Civil Servant,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,36.0,D,1,21.0,B,0,34.0,C,0,31.0,B,0,29.0,A,0,32.0,D,0,35.0,C,1,32.0,D,0,29.0,C,1,25.0,B,0,32.0,B,0,21.0,3,29.75,-5.0,45.0,-0.75,10.33,2.67,2.38,1,1,1,57,6,3,6,6,3,6
6112937a54e78094098725fe,pause-points,2026-08-14T09:58:45.989138+00:00,True,23,['Woman'],Paralegal + Student,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,D,0,66.0,C,0,33.0,A,1,23.0,D,1,56.0,C,1,75.0,A,0,74.0,B,0,43.0,B,0,21.0,D,0,67.0,B,0,18.0,A,1,38.0,A,0,42.0,4,46.33,2.5,32.5,-0.25,8.67,2.83,1.5,1,1,1,41,9,7,6,5,2,4
59e721e0ac0af70001b36a13,pause-points,2026-08-14T10:11:22.513030+00:00,True,37,['Woman'],teaching assistant ,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a month,B,0,30.0,A,0,26.0,B,0,9.0,B,0,27.0,C,1,35.0,C,0,27.0,D,0,21.0,A,0,26.0,B,1,11.0,B,0,29.0,A,1,8.0,D,1,8.0,4,21.42,-8.88,42.5,-0.88,7.5,2.5,2.38,1,1,1,21,7,2,11,4,0,0
69efbf25ced2d080cad5a7ca,pause-points,2026-08-14T10:14:18.935318+00:00,True,30,['Woman'],Careers consultant,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,C,1,72.0,D,1,14.0,B,0,83.0,A,0,31.0,D,0,39.0,C,0,68.0,B,0,74.0,C,1,15.0,C,0,27.0,C,1,44.0,C,0,4.0,B,0,9.0,4,40.0,-5.62,92.5,0.12,9.17,3.83,2.38,1,1,1,24,7,5,7,3,3,3
6a7a1385268c61376472e418,pause-points,2026-08-14T10:14:55.458843+00:00,True,36,['Woman'],Homemaker,Fully fluent,Higher tertiary education degree (Master's level),Several times a day,C,1,82.0,B,0,83.0,C,0,71.0,D,1,81.0,B,0,88.0,B,0,85.0,A,1,83.0,B,0,7.0,C,0,69.0,B,0,16.0,B,0,88.0,B,0,39.0,3,66.0,21.33,72.5,0.38,11.67,4.5,2.5,1,1,1,41,8,4,5,9,2,4
5bf54dd783653500016776ec,pause-points,2026-08-14T10:18:56.816065+00:00,True,41,['Woman'],Content designer,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,63.0,B,0,68.0,B,0,62.0,B,0,72.0,B,0,69.0,A,0,53.0,D,0,76.0,B,0,77.0,D,0,57.0,B,0,73.0,D,0,59.0,D,1,63.0,1,66.0,-3.27,82.5,1.12,5.17,3.17,3.75,1,1,1,55,12,5,12,10,0,10
60b8b31eb3143c92b950deba,pause-points,2026-08-14T10:18:58.121238+00:00,True,48,['Man'],Administrator (Education),Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,79.0,B,0,9.0,D,0,41.0,C,0,11.0,B,0,100.0,B,0,97.0,A,1,100.0,C,1,100.0,D,0,15.0,B,0,100.0,B,0,100.0,B,0,1.0,2,62.75,44.7,20.0,-0.25,11.67,4.5,2.12,1,1,1,43,12,7,8,5,3,4
66b5172c8f0bd3b23ce66c22,pause-points,2026-08-14T10:34:20.715335+00:00,True,29,['Woman'],Teacher,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,7.0,B,0,29.0,D,0,44.0,D,1,68.0,B,0,93.0,D,1,75.0,B,0,66.0,D,0,72.0,D,0,84.0,C,1,67.0,B,0,34.0,B,0,37.0,3,56.33,18.22,67.5,0.25,10.0,2.67,3.5,1,1,1,100,9,6,9,7,5,7
5a5a6ed7f6c517000195029e,pause-points,2026-08-14T10:48:35.979186+00:00,True,32,['Woman'],RADIOGRAPHER,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a month,B,0,98.0,C,0,96.0,B,0,98.0,D,1,98.0,C,1,99.0,B,0,95.0,B,0,98.0,A,0,89.0,B,1,76.0,B,0,98.0,B,0,93.0,B,0,98.0,3,94.67,-4.89,80.0,2.75,9.83,3.33,4.12,1,1,1,24,8,8,6,10,6,9
6a0c6c707a72dd321106bd53,pause-points,2026-08-14T10:53:07.411678+00:00,True,27,['Woman'],administration,Native English speaker,Lower tertiary education degree (Bachelor's level),Never,C,1,57.0,A,0,98.0,B,0,94.0,A,0,81.0,B,0,83.0,A,0,81.0,D,0,91.0,B,0,74.0,D,0,95.0,B,0,72.0,C,0,93.0,C,0,40.0,1,79.92,-25.0,62.5,0.88,12.67,4.0,3.0,1,1,1,28,7,5,3,6,4,5
6a078e18e9921951cb664c9b,pause-points,2026-08-14T10:57:19.539877+00:00,True,35,['Man'],Researcher,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,C,1,100.0,D,1,100.0,D,0,100.0,D,1,100.0,C,1,100.0,D,1,100.0,D,0,100.0,A,0,100.0,D,0,100.0,C,1,100.0,C,0,100.0,C,0,100.0,6,100.0,0.0,80.0,1.62,14.17,4.83,3.75,1,1,1,22,12,9,10,11,7,9
6a00dbf1a704d2b901583edb,pause-points,2026-08-14T10:58:52.166467+00:00,True,64,['Man'],Retired,Native English speaker,Vocational college degree,Several times a day,B,0,85.0,A,0,83.0,C,0,85.0,D,1,83.0,B,0,88.0,B,0,90.0,D,0,83.0,B,0,86.0,D,0,85.0,D,0,77.0,B,0,89.0,B,0,73.0,1,83.92,-1.0,90.0,1.5,11.17,4.17,4.0,1,1,1,45,12,8,12,10,6,12
69fd24e9380cef436aa891df,pause-points,2026-08-14T11:04:00.195271+00:00,True,45,['Man'],Train driver,Native English speaker,Doctoral degree,About once a day,B,0,82.0,B,0,76.0,B,0,89.0,B,0,70.0,C,1,73.0,C,0,83.0,D,0,44.0,B,0,82.0,C,0,0.0,C,1,0.0,C,0,1.0,A,0,1.0,2,50.08,-16.3,70.0,-1.25,5.33,4.0,2.5,1,1,1,43,10,6,10,9,1,9
63f54db123b350a3b5836638,pause-points,2026-08-14T11:06:31.371588+00:00,True,39,['Man'],Packaging Operative,Native English speaker,Upper secondary school / High school,Several times a day,B,0,100.0,C,0,96.0,B,0,91.0,C,0,35.0,C,1,97.0,C,0,94.0,C,0,96.0,C,1,60.0,A,0,97.0,C,1,96.0,B,0,96.0,B,0,95.0,3,87.75,-4.56,77.5,2.25,9.83,3.0,4.62,1,1,1,95,12,6,12,12,4,12
59ae8d282a78fd00010b80e7,pause-points,2026-08-14T11:36:58.247656+00:00,True,42,['Man'],Analyst,Fully fluent,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,44.0,A,0,77.0,B,0,52.0,A,0,60.0,C,1,63.0,B,0,42.0,D,0,51.0,B,0,14.0,B,1,56.0,C,1,48.0,D,0,27.0,D,1,63.0,4,49.75,11.62,45.0,-0.5,11.33,3.0,3.12,1,1,1,38,10,5,11,6,2,9
6a0302ce582dfd822c6b6db8,pause-points,2026-08-14T11:53:55.155319+00:00,True,35,['Woman'],Recruitment Consultant,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,A,0,28.0,D,1,79.0,B,0,61.0,D,1,83.0,B,0,82.0,D,1,88.0,D,0,26.0,D,0,92.0,A,0,21.0,D,0,72.0,D,0,91.0,B,0,79.0,3,66.83,22.0,17.5,-2.38,10.33,2.33,1.5,1,0,1,44,12,10,10,7,2,2
