participant,ai,ai-reliability,alternatives,pause-points,reflection-task
59a3b1a35fd74b0001abf9c1,,X,,X,
5e909d6c5321c13abee11725,,X,,,X
5f3ec93efbd299158253f283,X,,X,,
5f5bb87a0093333445af65f2,X,,X,,
5fbf90f025a567296d943c7e,X,,,X,
602566f8b47a130ae1d2f94b,,X,X,,
6054cdc28222dc1ca6f58d8c,X,,,,X
62e25115fb932baf4a93173f,X,,,,X
637e1c5a4cf3a6a0f0acd67c,X,,X,,
63beebaa4c5884797ff00a98,,X,,X,
647869e6f69318bacc341d53,,X,,X,
66019f5e10adbe524f2a844a,,X,X,,
6614fb6af3c5aa23b962ea2d,X,,X,,
66bc9847760de03da07d1f28,X,,,X,
66cdeb8a1b24ca4b3267616c,X,,,X,
676f730d7b956c6dc4eb2102,X,,,X,
6772635d620fb499e8d268e6,X,,,,X
69ea3ae0cebb94ec4126d00d,,X,,X,
69ee2a86be2657dd6b52f0dc,,X,X,,
69f0e10237e70629b1851b6f,,X,,X,
69fcda1943761c2a0204373e,,X,,X,
69fdaf9d85430102ab57d442,,X,,,X
69ffbea27516957e550655d3,X,,X,,
6a00bcb801abd80f812f7c4b,,X,X,,
6a00de0fef1ab5f141829594,,X,,,X
6a0377ab9f56f6356a06f3ec,,X,X,,
6a0b4fa8c69b7f8c74ef1238,X,X,,,
6a0cd3904db1482540e9dede,X,,,X,
6a0daf62ec01cd69c04d1da8,,X,X,,
6a11a434b06823950a4448a5,X,,,X,
6a1602689050cce832321f97,X,,,X,
6a1f03c7db3ac189886daa83,X,,,X,
6a1f0c595bd98a080100d47f,,X,X,,
6a2005ef97f72a2148a5f52b,,X,X,,
6a215752a155484c322dae18,,X,,,X
6a2181d1f0ad377a924abd5d,X,,,X,
6a21935e44fa7ca6cd47ffd1,X,,X,,
6a21a57078af3e9063c328ff,,X,,X,
